notation	role	introduced	convention	status
$(X,\Sigma,\mu)$	measure space	III/01	Sigma is the sigma-algebra and mu the measure	PASS
$\mathcal B(\mathbb R^n)$	Borel sigma-algebra	III/01	Borel sets generated by the Euclidean open sets	PASS
$1_E$	indicator function	III/02	indicator of the measurable set E	PASS
$f^+,f^-$	positive and negative parts	III/03	f=f^+-f^- and |f|=f^++f^-	PASS
$\int f\,d\mu$	Lebesgue integral	III/03	extended integral first; finite integrability stated separately	PASS
$f_n\to f$ a.e.	almost-everywhere convergence	III/04	pointwise convergence outside a null set	PASS
$\mu\times\nu$	product measure	III/05	product measure on the product sigma-algebra	PASS
$L^p(\mu)$	Lp space	III/06	a.e.-equivalence classes, not pointwise functions	PASS
$\|f\|_p$	Lp norm	III/06	essential supremum convention when p=infinity	PASS
$p'$	conjugate exponent	III/07	1/p+1/p'=1 with endpoint conventions stated when used	PASS
$L^{p,\infty}$	weak-Lp space	III/08	distribution-function/quasi-norm convention	PASS
$S_Nf$	Fourier partial sum	III/09	2pi-periodic Fourier-series convention	PASS
$D_N$	Dirichlet kernel	III/09	partial sums represented by periodic convolution	PASS
$f*g$	convolution	III/10	integration domain and measure determined by context	PASS
$\rho_\varepsilon$	approximate identity / mollifier scale	III/10	normalized scaled kernel	PASS
$\widehat f(\xi)$	Fourier transform	III/11	integral f(x) exp(-2 pi i x dot xi) dx	PASS
$\mathcal F^{-1}$	inverse Fourier transform	III/11	inverse convention paired with the III/11 normalization	PASS
$\mathcal S(\mathbb R^n)$	Schwartz space	III/14	rapidly decreasing smooth functions; locally previewed in III/11 and III/13	PASS
$\sup_x |x^\alpha D^\beta f(x)|$	Schwartz seminorm	III/14	all multi-index pairs alpha,beta	PASS
$\mathcal D(\Omega)=C_c^\infty(\Omega)$	test-function space	III/15	standard LF topology	PASS
$\langle T,\varphi\rangle$	distribution/test-function pairing	III/16	T acts continuously on a test function	PASS
$\mathcal D'(\Omega)$	distribution space	III/16	continuous dual of the test-function space	PASS
$D^\alpha T$	distributional derivative	III/16	pairing carries the factor (-1)^{|alpha|}	PASS
$\operatorname{supp}T$	distributional support	III/17	complement of the largest open set on which T vanishes	PASS
$\delta_{x_0}$	Dirac mass	III/16	point-evaluation distribution	PASS
$\mathcal S'(\mathbb R^n)$	tempered distributions	III/18	continuous dual of Schwartz space	PASS
$\widehat T$	Fourier transform of a tempered distribution	III/19	defined by duality consistently with III/11	PASS
$D^\alpha u$	weak derivative	III/20	distributional identity represented by a locally integrable function	PASS
$W^{k,p}(\Omega)$	Sobolev space	III/21	weak derivatives through order k lie in Lp	PASS
$H^k$	Hilbert Sobolev space	III/21	H^k=W^{k,2}	PASS
$H_0^1(\Omega)$	zero-boundary energy space	III/21	closure of compactly supported smooth functions in H1	PASS
$a(u,v)$	variational bilinear form	III/23	boundedness/coercivity must be checked on the chosen Hilbert space	PASS
$F(v)$	weak forcing functional	III/23	element of the dual energy space	PASS
$-\Delta$	Poisson operator sign	III/23	weak Poisson convention gives integral grad u dot grad v	PASS
$\Phi$	fundamental solution	III/24	distributional operator identity fixes the sign	PASS
$G(x,y)$	Green function	III/25	boundary condition and operator convention must be stated	PASS
$L y=-(p y')'+qy$	Sturm-Liouville operator	III/26	weight and self-adjoint boundary conditions stated separately	PASS
$Lu$	elliptic operator	III/27	coefficient and sign convention fixed locally	PASS
$L\phi_k=\lambda_k\phi_k$	spectral eigenpair	III/28	self-adjoint/spectral hypotheses required	PASS
$m(\xi)$	Fourier multiplier	III/13	frequency multiplier acting through the Fourier transform	PASS
