chapter_code	chapter_title	learning_goals	measurable_goals	hints	enriched_hints	minimum_visible_hint_chars
VI/01	Algebraic Sets	7	7	0	0	0
VI/02	The Zariski Topology	0	0	0	0	0
VI/03	Coordinate Rings	0	0	0	0	0
VI/04	Morphisms of Affine Algebraic Sets	0	0	0	0	0
VI/05	Irreducibility, Components and Connectedness	0	0	0	0	0
VI/06	Prime Ideals as Geometric Points	0	0	0	0	0
VI/07	The Spectrum of a Ring	0	0	20	0	50
VI/08	Basic Open Sets D(f)	0	0	20	0	39
VI/09	Generic and Closed Points	0	0	20	0	26
VI/10	Reduced and Nonreduced Geometry	0	0	20	0	30
VI/11	Local Rings and Residue Fields	0	0	0	0	0
VI/12	Presheaves	0	0	0	0	0
VI/13	Sheaves and Stalks	0	0	26	0	27
VI/14	Sheafification	0	0	0	0	0
VI/15	Kernels, Images and Quotients of Sheaves	0	0	26	0	37
VI/16	Exact Sequences of Sheaves	0	0	31	0	46
VI/17	The Structure Sheaf	0	0	26	0	44
VI/18	Affine Schemes	0	0	0	0	0
VI/19	Morphisms of Affine Schemes	0	0	0	0	0
VI/20	Gluing Affine Schemes	0	0	0	0	0
VI/21	Schemes and Their Points	0	0	0	0	0
VI/22	Open and Closed Subschemes	0	0	0	0	0
VI/23	Fiber Products	0	0	0	0	0
VI/24	Base Change	0	0	0	0	0
VI/25	Fibers and Geometric Fibers	0	0	0	0	0
VI/26	Finite-Type and Noetherian Morphisms	0	0	0	0	0
VI/27	Integral Schemes and Function Fields	0	0	0	0	0
VI/28	Normalization	0	0	0	0	0
VI/29	Krull Dimension	0	0	0	0	0
VI/30	Dimension of Schemes	0	0	0	0	0
VI/31	Codimension	6	6	0	0	0
VI/32	Tangent Spaces and Local Geometry	7	5	0	0	0
VI/33	Graded Rings	10	8	0	0	0
VI/34	Proj	10	7	0	0	0
VI/35	Projective Space	10	7	0	0	0
VI/36	Projective Schemes	13	9	0	0	0
VI/37	Projective Morphisms and Closed Embeddings	13	11	0	0	0
VI/38	Coherent and Quasi-Coherent Sheaves	12	8	0	0	0
VI/39	Weil Divisors	10	9	24	0	14
VI/40	Cartier Divisors	11	8	24	0	20
VI/41	Divisor Class Groups	12	11	0	0	0
VI/42	Line Bundles and Picard Groups	15	11	24	0	31
VI/43	Plane Cubics	16	8	24	0	25
VI/44	Cremona Transformations	16	13	24	0	30
VI/45	Blow-Ups	20	15	24	0	14
VI/46	Flabby Sheaves	9	8	24	0	22
VI/47	Čech Cohomology	10	10	24	0	15
VI/48	Exact Sequences and Cohomology	10	9	24	0	39
VI/49	Basic Vanishing Results	9	8	24	0	23
