chapter	examples	exercises	hints	problems	solutions	labels
II/01	7	24	24	12	36	47
II/02	7	24	24	12	36	47
II/03	7	24	24	12	36	47
II/04	7	24	24	12	36	47
II/05	7	24	24	12	36	47
II/06	7	24	24	12	36	47
II/07	7	24	24	12	36	47
II/08	7	24	24	12	36	47
II/09	7	24	24	12	36	47
II/10	7	24	24	12	36	47
II/11	7	24	24	12	36	47
II/12	7	24	24	12	36	47
II/13	7	24	24	12	36	47
II/14	7	24	24	12	36	47
II/15	7	24	24	12	36	47
II/16	7	24	24	12	36	47
II/17	7	24	24	12	36	47
II/18	7	24	24	12	36	47
II/19	7	24	24	12	36	47
II/20	7	24	24	12	36	47
II/21	7	24	24	12	36	47
II/22	7	24	24	12	36	47
II/23	7	24	24	12	36	47
II/24	7	24	24	12	36	47
II/25	7	24	24	12	36	47
