chapter_code	chapter_title	goals	measurable_goals	problems	exercises	hints	solutions	generic_hint_hits
II/01	The Real Number System and Completeness	6	6	12	8	8	20	0
II/02	Euclidean and Normed Spaces	6	6	12	8	8	20	0
II/03	Sequences and Cauchy Sequences	6	6	12	8	8	20	0
II/04	Open and Closed Sets	6	6	12	8	8	20	0
II/05	Metric Spaces and Continuity	6	6	12	8	8	20	0
II/06	Compactness	6	6	12	8	8	20	0
II/07	Connectedness and Path Connectedness	6	6	12	8	8	20	0
II/08	Differentiability in Several Variables	6	6	12	8	8	20	0
II/09	Inverse and Implicit Function Principles	6	6	12	8	8	20	0
II/10	Riemann Integration	6	6	12	8	8	20	0
II/11	Pointwise and Uniform Convergence	6	6	12	8	8	20	0
II/12	Interchanging Limits, Derivatives and Integrals	6	6	12	8	8	20	0
II/13	Infinite Series of Functions	6	6	12	8	8	20	0
II/14	Trigonometric Series	6	6	12	8	8	20	0
II/15	Pathological and Nowhere-Differentiable Functions	6	6	12	8	8	20	0
II/16	Contraction Mappings	6	6	12	8	8	20	0
II/17	Brouwer-Type Fixed-Point Ideas	6	6	12	8	8	20	0
II/18	Integral Equations	6	6	12	8	8	20	0
II/19	Elementary Existence Theory for ODEs	6	6	12	8	8	20	0
II/20	Polynomial Interpolation	6	6	12	8	8	20	0
II/21	Polynomial Approximation	6	6	12	8	8	20	0
II/22	Chebyshev and Minimax Approximation	6	6	12	8	8	20	0
II/23	The Alternation Principle	6	6	12	8	8	20	0
II/24	Numerical Quadrature	6	6	12	8	8	20	0
II/25	Continued Fractions and Approximation Topics	6	6	12	8	8	20	0
