chapter	examples	exercises	hints	problems	solutions	labels
IV/01	7	24	24	12	36	47
IV/02	7	24	24	12	36	47
IV/03	7	24	24	12	36	47
IV/04	7	24	24	12	36	48
IV/05	7	24	24	12	36	47
IV/06	7	24	24	12	36	48
IV/07	7	24	24	12	36	47
IV/08	7	24	24	12	36	47
IV/09	7	24	24	12	36	47
IV/10	7	24	24	12	36	48
IV/11	7	24	24	12	36	47
IV/12	7	24	24	12	36	48
IV/13	7	24	24	12	36	47
IV/14	7	24	24	12	36	47
IV/15	7	24	24	12	36	47
IV/16	7	24	24	12	36	47
IV/17	7	24	24	12	36	48
IV/18	7	24	24	12	36	47
IV/19	7	24	24	12	36	47
IV/20	7	24	24	12	36	47
IV/21	7	24	24	12	36	47
IV/22	7	24	24	12	36	47
IV/23	7	24	24	12	36	47
IV/24	7	24	24	12	36	47
IV/25	7	24	24	12	36	47
IV/26	7	24	24	12	36	47
IV/27	7	24	24	12	36	47
IV/28	7	24	24	12	36	47
IV/29	7	24	24	12	36	48
IV/30	7	24	24	12	36	47
IV/31	7	24	24	12	36	48
