chapter	path	sha256
VI/01	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	bce296206e9e5f65649497351ced718b321726e06d46c719b34bfb5e90f20f71
VI/02	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	2b866925d0a4b84bad655cfaa94ff87432c56c4ff5f2547c69d299ba44a75409
VI/03	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	8e627bc86526beed2d26ab66117eecb47910f3a3fb7fc9b4d885cb9de58a2c60
VI/04	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	998d8363d41bef04be441911e5c9a7f7fb79c1cc9ca39eaa9b912263e18d0442
VI/05	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	9934474761c67b31b6c6de814fc1248ddb42a49b8f50184df495ecb0683b20d6
VI/06	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	16c0bd9752ed3dc8ea57b732db97b5e7e3baa51cc78f08488568eb96b56c6abb
VI/07	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	7652279d2515486e93163b9b5f58f23f1404dd825875d03973cc24b0b14247ae
VI/08	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	99ec00f9084b3a4ce884115c7831e62ec08102aef1141896f390a9acde624ace
VI/09	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	2d7a0ea40ffcee820b441a8a6684ee49df9b695110ea708ad61291c5a73e4d75
VI/10	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	3d86aa20d71c4f892b313791d8ce795c397e1fc6f571030c10f4f27554a532bc
VI/11	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	dc4d9d36aef4ede4ed6883c722ca9fbec65dc0e165acf5ee007ca90c14a1dcba
