chapter	examples	exercises	hints	problems	solutions	labels
VI/01	10	16	16	0	16	50
VI/02	3	16	16	0	16	45
VI/03	3	16	16	0	16	39
VI/04	10	16	16	0	16	40
VI/05	5	16	16	0	16	35
VI/06	4	16	16	0	16	29
VI/07	3	16	16	15	16	20
VI/08	3	16	16	16	16	20
VI/09	3	16	16	18	16	20
VI/10	3	16	16	17	16	20
VI/11	3	16	16	20	16	20
VI/12	3	16	16	22	16	20
VI/13	5	16	16	0	16	20
VI/14	3	16	16	0	16	20
VI/15	3	16	16	0	16	20
VI/16	3	16	16	0	16	23
VI/17	3	16	16	0	16	22
VI/18	3	16	16	0	16	20
VI/19	3	16	16	0	16	20
VI/20	3	16	16	0	16	20
VI/21	3	16	16	0	16	27
VI/22	3	16	16	0	16	25
VI/23	3	16	16	0	16	23
VI/24	3	16	16	0	16	23
VI/25	3	16	16	0	16	24
VI/26	3	16	16	0	16	28
VI/27	3	16	16	0	16	28
VI/28	3	16	16	0	16	27
VI/29	3	16	16	0	16	29
VI/30	3	16	16	0	16	38
VI/31	3	16	16	0	16	40
VI/32	3	16	16	0	16	41
VI/33	3	16	16	0	16	20
VI/34	3	16	16	0	16	20
VI/35	3	16	16	0	16	24
VI/36	3	16	16	0	16	25
VI/37	4	16	16	0	16	26
VI/38	3	16	16	0	16	33
VI/39	22	40	40	17	16	97
VI/40	22	40	40	17	16	99
VI/41	8	40	16	17	16	85
VI/42	3	40	16	17	16	79
VI/43	7	40	16	17	16	79
VI/44	3	40	16	17	16	79
VI/45	3	40	16	17	16	79
VI/46	7	40	16	17	16	87
VI/47	6	40	16	17	16	87
VI/48	6	40	16	17	16	87
VI/49	4	40	16	17	16	87
