chapter	examples	exercises	hints	problems	solutions	labels
V/01	7	24	24	12	36	47
V/02	7	24	24	12	36	47
V/03	7	24	24	12	36	47
V/04	7	24	24	12	36	47
V/05	7	24	24	12	36	47
V/06	7	24	24	12	36	47
V/07	7	24	24	12	36	47
V/08	7	24	24	12	36	47
V/09	7	24	24	12	36	47
V/10	7	24	24	12	36	47
V/11	7	24	24	12	36	47
V/12	7	24	24	12	36	47
V/13	7	24	24	12	36	47
V/14	7	24	24	12	36	47
V/15	7	24	24	12	36	47
V/16	7	24	24	12	36	47
V/17	7	24	24	12	36	47
V/18	7	24	24	12	36	47
V/19	7	24	24	12	36	47
V/20	7	24	24	12	36	47
V/21	7	24	24	12	36	47
V/22	7	24	24	12	36	47
V/23	7	24	24	12	36	47
V/24	7	24	24	12	36	47
V/25	7	24	24	12	36	47
V/26	7	24	24	12	36	47
V/27	7	24	24	12	36	47
V/28	7	24	24	12	36	47
