chapter_code	chapter_title	goals	measurable_goals	problems	exercises	hints	solutions	generic_hint_hits
III/01	Sigma-Algebras and Measures	6	6	12	8	8	20	0
III/02	Measurable Functions	6	6	12	8	8	20	0
III/03	The Lebesgue Integral	6	6	12	8	8	20	0
III/04	Convergence Theorems	6	6	12	8	8	20	0
III/05	Product Measures and Fubini Theory	6	6	12	8	8	20	0
III/06	Lp Spaces	6	6	12	8	8	20	0
III/07	Hölder, Minkowski and Interpolation	6	6	12	8	8	20	0
III/08	Egorov, Vitali and Weak-Lp Ideas	6	6	12	8	8	20	0
III/09	Fourier Series	6	6	12	8	8	20	0
III/10	Convolution and Approximate Identities	6	6	12	8	8	20	0
III/11	The Fourier Transform	6	6	12	8	8	20	0
III/12	The Gaussian and Transform Calculus	6	6	12	8	8	20	0
III/13	Plancherel and L2 Fourier Theory	6	6	12	8	8	20	0
III/14	The Schwartz Space	6	6	12	8	8	20	0
III/15	Test-Function Spaces	6	6	12	8	8	20	0
III/16	Distributions and Distributional Derivatives	6	6	12	8	8	20	0
III/17	Support and Singular Distributions	6	6	12	8	8	20	0
III/18	Tempered Distributions	6	6	12	8	8	20	0
III/19	Fourier Transform of Distributions	6	6	12	8	8	20	0
III/20	Weak Derivatives	6	6	12	8	8	20	0
III/21	Sobolev Spaces	6	6	12	8	8	20	0
III/22	Approximation and Density	6	6	12	8	8	20	0
III/23	Weak Boundary-Value Problems	6	6	12	8	8	20	0
III/24	Fundamental Solutions	6	6	12	8	8	20	0
III/25	Green Functions	6	6	12	8	8	20	0
III/26	Sturm–Liouville Green Kernels	6	6	12	8	8	20	0
III/27	Elliptic Operators and Maximum Principles	6	6	12	8	8	20	0
III/28	Spectral and Transform Methods for PDE	6	6	12	8	8	20	0
