volume_dir	chapter_dir	title	context_or_roadmap	examples	exercises	solved_problems	challenges	summary	bridge	status
vol01_linear_algebra	ch01_scalars_vectors_and_linear_combinations	Scalars, Vectors and Linear Combinations	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch02_subspaces_span_and_linear_independence	Subspaces, Span and Linear Independence	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch03_bases_and_dimension	Bases and Dimension	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch04_coordinates_and_change_of_basis	Coordinates and Change of Basis	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch05_linear_transformations	Linear Transformations	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch06_kernels_images_and_isomorphisms	Kernels, Images and Isomorphisms	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch07_matrix_representation_of_linear_maps	Matrix Representation of Linear Maps	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch08_determinants_and_trace	Determinants and Trace	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch09_eigenvalues_and_eigenvectors	Eigenvalues and Eigenvectors	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch10_invariant_subspaces_and_triangularization	Invariant Subspaces and Triangularization	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch11_diagonalization_and_minimal_polynomials	Diagonalization and Minimal Polynomials	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch12_canonical_forms	Canonical Forms	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch13_inner_products_and_orthogonality	Inner Products and Orthogonality	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch14_gram_schmidt_and_orthogonal_projection	Gram–Schmidt and Orthogonal Projection	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch15_orthogonal_and_unitary_operators	Orthogonal and Unitary Operators	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch16_the_spectral_theorem	The Spectral Theorem	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch17_quadratic_forms	Quadratic Forms	1	1	1	1	1	0	0	PARTIAL
vol01_linear_algebra	ch18_singular_value_decomposition	Singular-Value Decomposition	1	1	1	1	1	0	0	PARTIAL
vol02_real_analysis	ch01_the_real_number_system_and_completeness	The Real Number System and Completeness	1	1	1	1	1	0	0	PARTIAL
vol02_real_analysis	ch02_euclidean_and_normed_spaces	Euclidean and Normed Spaces	1	1	1	1	1	0	0	PARTIAL
vol02_real_analysis	ch03_sequences_and_cauchy_sequences	Sequences and Cauchy Sequences	1	1	1	1	1	0	0	PARTIAL
