chapter	path	sha256
V/01	books/vol05_commutative_algebra/chapters/ch01_rings_ideals_and_quotients/chapter.tex	83b685a7c49bd0d07297560efb92efd481f6ce9937ceb5cc8f7736dc28e60ca8
V/02	books/vol05_commutative_algebra/chapters/ch02_prime_and_maximal_ideals/chapter.tex	fb03584b059cf9e0e0fcbdc516639be20e5527b2729193eee1b7bcb8eb26357b
V/03	books/vol05_commutative_algebra/chapters/ch03_radicals_and_nilpotents/chapter.tex	d9822c7169e939d72c5b85a351a05464a8f8d3d1740a22988e054764acdc0602
V/04	books/vol05_commutative_algebra/chapters/ch04_chinese_remainder_theory/chapter.tex	9012b4f2e9ca6e73cc76fd627da277d10e6891cf749757a2a4a1b5c15d3eae15
V/05	books/vol05_commutative_algebra/chapters/ch05_multiplicative_systems/chapter.tex	7c99bbbb291c9c27045f6e10433f37d1d8cd9e986da611f07b7fec4eb5406376
V/06	books/vol05_commutative_algebra/chapters/ch06_localization_of_rings/chapter.tex	50cffce6aeb2f8139a21616daef8fe5b3b0290f8e4f53e8ab0ec535b3449f569
V/07	books/vol05_commutative_algebra/chapters/ch07_localization_of_modules/chapter.tex	9a577fd2007a4faae1417d1c52c52b38463ba54d3e214bcb0ed10b1183fdb89d
V/08	books/vol05_commutative_algebra/chapters/ch08_local_rings_and_localization_at_primes/chapter.tex	d7ed66eb5b84c7f14b3b03a8c23a184fe04d111eed73ccb59cdb162f38791d60
V/09	books/vol05_commutative_algebra/chapters/ch09_modules_and_exact_sequences/chapter.tex	d83257f8862f410dc7761c2cdfd49688fc10bc8ef1b96de9243458d8a6eada2c
V/10	books/vol05_commutative_algebra/chapters/ch10_tensor_products/chapter.tex	d9227a24621924cf16bbb817129ce57a6ad8fad49d0e530fb413c595a7e65641
V/11	books/vol05_commutative_algebra/chapters/ch11_quotients_and_base_change/chapter.tex	35f5f7f0bc85bbc3380c5da944bee3ee97d580a16fd16fafafbd8cf9ea619b75
V/12	books/vol05_commutative_algebra/chapters/ch12_hom_and_finitely_presented_modules/chapter.tex	8a221155bed0881796849bc003091a35d451c3e3e7b1019165a457e5322b0b89
V/13	books/vol05_commutative_algebra/chapters/ch13_free_and_projective_modules/chapter.tex	155c51b728de877ec59faf0abee8657db84ac15718abd073bbe38a27b9a86506
V/14	books/vol05_commutative_algebra/chapters/ch14_flat_modules/chapter.tex	3fa610fd724d5b1a55e9219f98d6097be93e4b10a639fc93b19bf5c8f96983f7
V/15	books/vol05_commutative_algebra/chapters/ch15_noetherian_rings_and_modules/chapter.tex	f4418ae7ddf718d144f819b330b177ffbf558bf1f86eac52edd0caca1af749aa
V/16	books/vol05_commutative_algebra/chapters/ch16_support/chapter.tex	9f39e5a7da119902f7b7bfd98c0039808c5a59c9c01aae7e2b7482115f1ceb19
V/17	books/vol05_commutative_algebra/chapters/ch17_associated_primes/chapter.tex	c160807e55decc7a98ecdb573bc5eaee8dfa37355a231669e3090126c35d97ea
V/18	books/vol05_commutative_algebra/chapters/ch18_completion_and_i_adic_topology/chapter.tex	ed4d010dc1585a2bd9d291e01807d4d9e075cbd0e78b31ce10dbdd8ff981ba65
V/19	books/vol05_commutative_algebra/chapters/ch19_integral_dependence/chapter.tex	9fc3bfd095672ff4fccd57228be4ef3ff29fb7beae765517a1cdfced552d3628
V/20	books/vol05_commutative_algebra/chapters/ch20_integral_closure_and_normalization/chapter.tex	56ae261d83780849c3f948dc6c2af07e6eec0f75839dacc59be84ac41657845f
V/21	books/vol05_commutative_algebra/chapters/ch21_valuation_rings/chapter.tex	9c517d9ae01deeecc59857b915eea9454d616bfbaba0b8cf5430d21c6be67f7c
V/22	books/vol05_commutative_algebra/chapters/ch22_chain_complexes/chapter.tex	3e6217acdd3e2025559ee9e3561d5455e4dfd1fc4ae33cb57e41a74b9de17a66
V/23	books/vol05_commutative_algebra/chapters/ch23_free_resolutions/chapter.tex	c4b9bad208a610a6661ec9124fdd132187999a6ab7fe57ebf13d491b88328ffd
V/24	books/vol05_commutative_algebra/chapters/ch24_syzygies/chapter.tex	ddb422e3d75f5a28ba7a37dccbcb40c82a018f11adae47fe275fd1576497e2b7
V/25	books/vol05_commutative_algebra/chapters/ch25_minimal_resolutions/chapter.tex	f547ffa7bfeadebd1cc842da0cdecc41a08e0d5a0e313774ca52ab604e181004
V/26	books/vol05_commutative_algebra/chapters/ch26_the_tor_functor/chapter.tex	41ce6d28ddccec996f3e58dd0ae2ac79ea689d906177b6d7db2ea213f7c5841f
V/27	books/vol05_commutative_algebra/chapters/ch27_the_ext_functor/chapter.tex	c953a5a560c8235fd42c434621fd08c949f5de923e71aebb7c81fa1dff3592e3
V/28	books/vol05_commutative_algebra/chapters/ch28_derived_functor_viewpoint/chapter.tex	220e4cf3b9316c767775344806aceae6bd051d668fabfb4a4394df6535435c3e
