chapter_code	chapter_title	goals	measurable_goals	problems	exercises	hints	solutions	generic_hint_hits
V/01	Rings, Ideals and Quotients	6	6	12	8	8	20	8
V/02	Prime and Maximal Ideals	6	6	12	8	8	20	8
V/03	Radicals and Nilpotents	6	6	12	8	8	20	8
V/04	Chinese Remainder Theory	6	6	12	8	8	20	8
V/05	Multiplicative Systems	6	6	12	8	8	20	8
V/06	Localization of Rings	6	6	12	8	8	20	8
V/07	Localization of Modules	6	6	12	8	8	20	8
V/08	Local Rings and Localization at Primes	6	6	12	8	8	20	8
V/09	Modules and Exact Sequences	6	6	12	8	8	20	8
V/10	Tensor Products	6	6	12	8	8	20	8
V/11	Quotients and Base Change	6	6	12	8	8	20	8
V/12	Hom and Finitely Presented Modules	6	6	12	8	8	20	8
V/13	Free and Projective Modules	6	6	12	8	8	20	8
V/14	Flat Modules	6	6	12	8	8	20	8
V/15	Noetherian Rings and Modules	6	6	12	8	8	20	8
V/16	Support	6	6	12	8	8	20	8
V/17	Associated Primes	6	6	12	8	8	20	8
V/18	Completion and I-Adic Topology	6	6	12	8	8	20	8
V/19	Integral Dependence	6	6	12	8	8	20	8
V/20	Integral Closure and Normalization	6	6	12	8	8	20	8
V/21	Valuation Rings	6	6	12	8	8	20	8
V/22	Chain Complexes	6	6	12	8	8	20	8
V/23	Free Resolutions	6	6	12	8	8	20	8
V/24	Syzygies	6	6	12	8	8	20	8
V/25	Minimal Resolutions	6	6	12	8	8	20	8
V/26	The Tor Functor	6	6	12	8	8	20	8
V/27	The Ext Functor	6	6	12	8	8	20	8
V/28	Derived-Functor Viewpoint	6	6	12	8	8	20	8
