label	chapter	status	hint
exr:i01-01	I/01	PASS	Use distributivity on \(a(v+(-v))\) and identify the additive inverse of \(av\).
exr:i01-03	I/01	PASS	Use pointwise addition and scalar multiplication, then check that continuity is preserved by both operations.
exr:i01-04	I/01	PASS	Check whether the zero vector belongs to the set; scalar closure gives a second quick test.
exr:i01-05	I/01	PASS	Ask which scalars are available. Over \(\mathbb C\), \(1\) suffices; over \(\mathbb R\), separate real and imaginary parts.
exr:i01-07	I/01	PASS	Check the vector-space axioms entrywise; identify the zero matrix and additive inverses.
exr:i01-08	I/01	PASS	Use associativity repeatedly; a short induction on the number of summands formalizes the argument.
exr:i03-02	I/03	PASS	Solve \(a(1,0)+b(1,1)=(3,2)\) directly; the coefficients you obtain are the coordinates.
exr:i03-05	I/03	PASS	A basis of \(U\) is an independent list in \(V\) with \(\dim V\) vectors; use the dimension bound for independent lists.
exr:i04-06	I/04	PASS	Track only how the coordinate entries are reordered, and test the rule on basis coordinate vectors.
exr:i04-07	I/04	PASS	Keep the abstract vector fixed and compare only its coordinate columns in two different bases.
exr:i04-08	I/04	PASS	Use the explicit inverse for a nearly parallel basis and observe the entries of size \(1/\varepsilon\).
exr:i05-02	I/05	PASS	Test the zero vector first: a linear map must send \(0\) to \(0\).
exr:i05-05	I/05	PASS	Write an arbitrary vector as a linear combination of the basis and use linearity of both maps.
exr:i05-06	I/05	PASS	Try a coordinate shift such as \(N(x,y)=(y,0)\) and compute \(N^2\).
exr:i05-07	I/05	PASS	Define addition and scalar multiplication pointwise on maps and verify the vector-space axioms.
exr:i06-01	I/06	PASS	Set \(T(x,y,z)=0\) and solve the resulting homogeneous equations.
exr:i06-02	I/06	PASS	Use rank--nullity after computing the kernel dimension in the preceding exercise.
exr:i06-03	I/06	PASS	If \(T(v)=T(w)\), apply linearity to \(v-w\); for the converse compare \(T(v)\) with \(T(0)\).
exr:i06-04	I/06	PASS	Surjectivity means \(\operatorname{im}T=W\); compare the dimensions of these spaces.
exr:i06-05	I/06	PASS	Extend a basis of \(U\) to a basis of \(V\) and inspect the cosets of the added basis vectors.
exr:i07-02	I/07	PASS	The coordinate vector of the \(j\)-th domain basis vector is \(e_j\); multiplying by the matrix selects column \(j\).
exr:i07-04	I/07	PASS	Identify one nonzero column and show that every other column is a scalar multiple of it.
exr:i07-06	I/07	PASS	Apply the reflection to \(e_1\) and \(e_2\); those two images are the matrix columns.
exr:i07-07	I/07	PASS	Use explicit transformations whose compositions depend on order, such as a projection and a rotation.
exr:i08-04	I/08	PASS	For a diagonal matrix, only the identity permutation contributes to the determinant.
exr:i08-05	I/08	PASS	Use cyclicity \(\operatorname{tr}(XY)=\operatorname{tr}(YX)\) with a factorization that places \(P^{-1}P\) together.
exr:i08-06	I/08	PASS	Choose a basis consisting of one normal direction and a basis of the reflecting hyperplane, then read the diagonal matrix.
exr:i08-07	I/08	PASS	Write the diagonal entries of \(uv^T\) explicitly and add them.
exr:i08-08	I/08	PASS	Two matrices of the same endomorphism in different bases are similar; use multiplicativity of determinant and cyclicity of trace.
