chapter	primary_topics	requires	forward_preview_policy	status
I/01	Vector spaces and linear combinations	none	span/dependence/basis/dimension previewed to I/02-I/03	PASS
I/02	Subspaces, span, independence	I/01	basis previewed to I/03; map/kernel language deferred to I/05-I/06	PASS
I/03	Bases and dimension	I/01-I/02	map/isomorphism language previewed to I/05-I/06	PASS
I/04	Coordinates and change of basis	I/03	linear maps and similarity are explicit previews of I/05 and I/07	PASS
I/05	Linear transformations	I/03-I/04	kernel/image and invariant-subspace terminology previewed to I/06 and I/10	PASS
I/06	Kernels, images, rank-nullity, quotients	I/05	trace deferred to I/08	PASS
I/07	Matrix representations and similarity	I/04-I/06	none	PASS
I/08	Determinants and trace	I/07	none	PASS
I/09	Eigenvalues and eigenspaces	I/06-I/08	diagonalizability explicitly previewed to I/11	PASS
I/10	Invariant subspaces and triangularization	I/06-I/09	diagonalizability comparison explicitly previewed to I/11	PASS
I/11	Diagonalization and minimal polynomial	I/09-I/10	Jordan terminology previewed to I/12	PASS
I/12	Canonical forms	I/10-I/11	module-theoretic structure theorem flagged as later algebra viewpoint	PASS
I/13	Inner products and orthogonality	I/01-I/06	A* defined as conjugate transpose; operator adjoint deferred to I/16	PASS
I/14	Gram--Schmidt, projection, least squares	I/13	condition numbers/SVD/pseudoinverse explicitly previewed to I/18	PASS
I/15	Orthogonal and unitary operators	I/13-I/14	SVD-only arguments removed	PASS
I/16	Spectral theorem and adjoints	I/09-I/15	singular-value arguments deferred to I/18	PASS
I/17	Real quadratic forms	I/13-I/16	complex Hermitian analogue separated explicitly	PASS
I/18	Singular-value decomposition	I/13-I/16	final chapter; field restricted to R/C	PASS
