chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
II/01	1	prob:ii01-dossier-01	Supremum of a quadratic set	CORPUS_GUIDED	exercise_4_solutions_1_.tex	S01	Definitions and Examples|Supremum|Infimum	supremum/infimum definitions	Mapped source used for topic guidance; canonical problem and solution newly written.
II/01	2	prob:ii01-dossier-02	Infimum by reflection	CORPUS_GUIDED	exercise_4_solutions_1_.tex	S03	Exercise 4.1	Exercise 4.1	Mapped source used for topic guidance; canonical problem and solution newly written.
II/01	3	prob:ii01-dossier-03	No largest rational below an irrational	CORPUS_GUIDED	theory-of-real-analysis.tex	T01.SECTION	complete|supremum|infimum|least upper bound	completeness supremum infimum	Mapped source used for topic guidance; canonical problem and solution newly written.
II/01	4	prob:ii01-dossier-04	Reciprocals become small	CORPUS_GUIDED	theory-of-real-analysis.tex	T01.EXERCISE_CHILDREN	descendant-of(complete|supremum|infimum|least upper bound)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/01	5	prob:ii01-dossier-05	Integer bracketing	CORPUS_GUIDED	theory-of-real-analysis.tex	T01.THEORY_CHILDREN	descendant-of(complete|supremum|infimum|least upper bound)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/01	6	prob:ii01-dossier-06	Rational density	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/01	7	prob:ii01-dossier-07	Irrational density	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/01	8	prob:ii01-dossier-08	Reverse triangle inequality	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/01	9	prob:ii01-dossier-09	Nested intervals are unique when lengths vanish	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/01	10	prob:ii01-dossier-10	Why $\mathbb Q$ is incomplete	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/01	11	prob:ii01-dossier-11	Geometric partial sums	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/01	12	prob:ii01-dossier-12	Completeness synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	1	prob:ii02-dossier-01	Compare $1$- and $2$-norms	CORPUS_GUIDED	theory-of-real-analysis.tex	T02.SECTION	norm|Euclidean|Cauchy-Schwarz	Euclidean and normed spaces	Mapped source used for topic guidance; canonical problem and solution newly written.
II/02	2	prob:ii02-dossier-02	A seminorm, not a norm	CORPUS_GUIDED	theory-of-real-analysis.tex	T02.EXERCISE_CHILDREN	descendant-of(norm|Euclidean|Cauchy-Schwarz)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/02	3	prob:ii02-dossier-03	Weighted Euclidean norm	CORPUS_GUIDED	theory-of-real-analysis.tex	T02.THEORY_CHILDREN	descendant-of(norm|Euclidean|Cauchy-Schwarz)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/02	4	prob:ii02-dossier-04	Distance to a coordinate axis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	5	prob:ii02-dossier-05	Projection operator norm	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	6	prob:ii02-dossier-06	Equivalent convergence	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	7	prob:ii02-dossier-07	Diameter of the unit sphere	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	8	prob:ii02-dossier-08	Reverse triangle inequality	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	9	prob:ii02-dossier-09	Norm of a Euclidean functional	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	10	prob:ii02-dossier-10	Convexity of closed balls	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	11	prob:ii02-dossier-11	Infinite-dimensional warning	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/02	12	prob:ii02-dossier-12	Equivalent-norm synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Fresh canonical problem added to complete coverage.
II/03	1	prob:ii03-dossier-01	Direct proof for $1/n$	CORPUS_GUIDED	theory-of-analysis-topology.tex	T05.SECTION	sequence|sequential	sequential criteria	Mapped source used for topic guidance; canonical problem and solution newly written.
II/03	2	prob:ii03-dossier-02	Uniqueness of limits	CORPUS_GUIDED	theory-of-real-analysis.tex	T03.SECTION	sequence|Cauchy sequence|convergent sequence	sequences and Cauchy sequences	Mapped source used for topic guidance; canonical problem and solution newly written.
