chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
II/08	1	prob:ii08-dossier-01	A Jacobian by linearization	CORPUS_GUIDED	theory-of-analysis-II.tex	OVR.II_08.SECTION	Fréchet|Frechet|multivariable differentiab|differentiable curve|Df\(|partial derivative	multivariable differentiability and derivative-map material	Mapped source used for topic guidance; canonical problem and solution newly written.
II/08	2	prob:ii08-dossier-02	Directional derivatives without differentiability	CORPUS_GUIDED	theory-of-analysis-II.tex	OVR.II_08.EXERCISE_CHILDREN	descendant-of(Fréchet|Frechet|multivariable differentiab|differentiable curve|Df\(|partial derivative)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/08	3	prob:ii08-dossier-03	Gradient normal to a level set	CORPUS_GUIDED	theory-of-analysis-II.tex	OVR.II_08.THEORY_CHILDREN	descendant-of(Fréchet|Frechet|multivariable differentiab|differentiable curve|Df\(|partial derivative)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/08	4	prob:ii08-dossier-04	Chain rule in coordinates	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	5	prob:ii08-dossier-05	Quadratic approximation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	6	prob:ii08-dossier-06	Critical-point classification	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	7	prob:ii08-dossier-07	A saddle	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	8	prob:ii08-dossier-08	Differentiability from continuous partials	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	9	prob:ii08-dossier-09	Derivative of a norm square	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	10	prob:ii08-dossier-10	Derivative of a matrix map	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	11	prob:ii08-dossier-11	Second-order Taylor formula	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/08	12	prob:ii08-dossier-12	Differentiability synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	1	prob:ii09-dossier-01	One-dimensional inverse theorem	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	2	prob:ii09-dossier-02	A locally invertible map	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	3	prob:ii09-dossier-03	Local versus global inverse	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	4	prob:ii09-dossier-04	Implicit circle graph	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	5	prob:ii09-dossier-05	Implicit derivative formula	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	6	prob:ii09-dossier-06	Regular level curve	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	7	prob:ii09-dossier-07	A singular failure	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	8	prob:ii09-dossier-08	Coordinate straightening	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	9	prob:ii09-dossier-09	Newton linearization link	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	10	prob:ii09-dossier-10	Parameter dependence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	11	prob:ii09-dossier-11	Rank perspective	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/09	12	prob:ii09-dossier-12	IFT synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/10	1	prob:ii10-dossier-01	Integral of a step function	CORPUS_GUIDED	exercise_4_solutions_1_.tex	S02	Partitions|Upper and Lower Sums|Integrability	Riemann upper/lower sums	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	2	prob:ii10-dossier-02	Darboux gap estimate	CORPUS_GUIDED	exercise_4_solutions_1_.tex	S04	Exercise 4.2|Exercise 4.3|Exercise 4.4	Exercises 4.2-4.4	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	3	prob:ii10-dossier-03	Continuous integrability mechanism	CORPUS_GUIDED	theory-of-analysis-II.tex	T05.SECTION	Riemann integral|Darboux|upper sum|lower sum	Riemann integration	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	4	prob:ii10-dossier-04	Monotone integrability	CORPUS_GUIDED	theory-of-real-analysis.tex	T08.SECTION	Riemann|upper sum|lower sum|integrable	Riemann integration	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	5	prob:ii10-dossier-05	Integral of $x$	CORPUS_GUIDED	theory-of-analysis-II.tex	T05.EXERCISE_CHILDREN	descendant-of(Riemann integral|Darboux|upper sum|lower sum)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	6	prob:ii10-dossier-06	A single discontinuity	CORPUS_GUIDED	theory-of-analysis-II.tex	T05.THEORY_CHILDREN	descendant-of(Riemann integral|Darboux|upper sum|lower sum)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	7	prob:ii10-dossier-07	Dirichlet function	CORPUS_GUIDED	theory-of-real-analysis.tex	T08.EXERCISE_CHILDREN	descendant-of(Riemann|upper sum|lower sum|integrable)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	8	prob:ii10-dossier-08	Absolute-value inequality	CORPUS_GUIDED	theory-of-real-analysis.tex	T08.THEORY_CHILDREN	descendant-of(Riemann|upper sum|lower sum|integrable)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/10	9	prob:ii10-dossier-09	Mean value for integrals	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/10	10	prob:ii10-dossier-10	FTC computation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/10	11	prob:ii10-dossier-11	Additivity	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/10	12	prob:ii10-dossier-12	Integration synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	1	prob:ii11-dossier-01	Powers on $[0,1]$	CORPUS_GUIDED	theory-of-analysis-II.tex	T01.SECTION	uniform convergence|pointwise convergence	uniform convergence	Mapped source used for topic guidance; canonical problem and solution newly written.
II/11	2	prob:ii11-dossier-02	Powers on $[0,a]$	CORPUS_GUIDED	theory-of-analysis-II.tex	T01.EXERCISE_CHILDREN	descendant-of(uniform convergence|pointwise convergence)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/11	3	prob:ii11-dossier-03	Uniform implies pointwise	CORPUS_GUIDED	theory-of-analysis-II.tex	T01.THEORY_CHILDREN	descendant-of(uniform convergence|pointwise convergence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/11	4	prob:ii11-dossier-04	Continuity of the uniform limit	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	5	prob:ii11-dossier-05	Sup-norm reformulation	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	6	prob:ii11-dossier-06	Nonuniform pointwise convergence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	7	prob:ii11-dossier-07	A genuine nonuniform sequence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	8	prob:ii11-dossier-08	Uniform Cauchy estimate	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	9	prob:ii11-dossier-09	Uniform approximation preserves boundedness	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	10	prob:ii11-dossier-10	Interchanging an outer limit	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	11	prob:ii11-dossier-11	Dini mechanism	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/11	12	prob:ii11-dossier-12	Convergence synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	1	prob:ii12-dossier-01	Integral interchange estimate	CORPUS_GUIDED	theory-of-analysis-II.tex	T02.SECTION	differentiate under|integrate under|interchange limit	interchange limits	Mapped source used for topic guidance; canonical problem and solution newly written.
II/12	2	prob:ii12-dossier-02	A pointwise failure for integrals	CORPUS_GUIDED	theory-of-analysis-II.tex	T02.EXERCISE_CHILDREN	descendant-of(differentiate under|integrate under|interchange limit)	problem|exercise|solution|worked problem	Mapped source used for topic guidance; canonical problem and solution newly written.
II/12	3	prob:ii12-dossier-03	Termwise integration of a geometric series	CORPUS_GUIDED	theory-of-analysis-II.tex	T02.THEORY_CHILDREN	descendant-of(differentiate under|integrate under|interchange limit)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Mapped source used for topic guidance; canonical problem and solution newly written.
II/12	4	prob:ii12-dossier-04	Derivative exchange mechanism	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	5	prob:ii12-dossier-05	Derivative counterexample	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	6	prob:ii12-dossier-06	Uniform derivative convergence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	7	prob:ii12-dossier-07	Series of derivatives	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	8	prob:ii12-dossier-08	Local uniform convergence	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	9	prob:ii12-dossier-09	Continuity of integration operator	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	10	prob:ii12-dossier-10	Differentiation is not bounded in sup norm	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	11	prob:ii12-dossier-11	M-test bridge	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
II/12	12	prob:ii12-dossier-12	Interchange synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical problem.
