chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
V/19	1	prob:v19-dossier-01	Integral elements diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-7.tex	T04.SECTION	integral extension|finite morphism	integral extensions	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/19	2	prob:v19-dossier-02	Integral extensions diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-7.tex	T04.EXERCISE_CHILDREN	descendant-of(integral extension|finite morphism)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/19	3	prob:v19-dossier-03	Finite module criterion diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-7.tex	T04.THEORY_CHILDREN	descendant-of(integral extension|finite morphism)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/19	4	prob:v19-dossier-04	Finite algebras diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	5	prob:v19-dossier-05	Transitivity diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	6	prob:v19-dossier-06	Integral elements form a ring diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	7	prob:v19-dossier-07	Determinant trick diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	8	prob:v19-dossier-08	Prime behavior preview diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	9	prob:v19-dossier-09	Finite module criterion proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	10	prob:v19-dossier-10	Finite algebra implies integral proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	11	prob:v19-dossier-11	Transitivity of integrality proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/19	12	prob:v19-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/20	1	prob:v20-dossier-01	Integrally closed domains diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-8.tex	T03.SECTION	integrally closed|integral closure	integral closure bridge	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/20	2	prob:v20-dossier-02	Integral closure diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-8.tex	T03.EXERCISE_CHILDREN	descendant-of(integrally closed|integral closure)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
