chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
V/09	1	prob:v09-dossier-01	Modules diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T03.SECTION	module|exact sequence	modules exact sequences	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/09	2	prob:v09-dossier-02	Submodules and quotients diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-16.tex	T01.SECTION	exact sequence	exact sequences	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/09	3	prob:v09-dossier-03	Module maps diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T03.EXERCISE_CHILDREN	descendant-of(module|exact sequence)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/09	4	prob:v09-dossier-04	Exact sequences diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T03.THEORY_CHILDREN	descendant-of(module|exact sequence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/09	5	prob:v09-dossier-05	Short exact sequences diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-16.tex	T01.EXERCISE_CHILDREN	descendant-of(exact sequence)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/09	6	prob:v09-dossier-06	Splittings diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-16.tex	T01.THEORY_CHILDREN	descendant-of(exact sequence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/09	7	prob:v09-dossier-07	Direct sums diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/09	8	prob:v09-dossier-08	Diagram arguments diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/09	9	prob:v09-dossier-09	First isomorphism theorem for modules proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/09	10	prob:v09-dossier-10	Splitting criterion proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/09	11	prob:v09-dossier-11	Exactness of direct sums proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/09	12	prob:v09-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
V/10	1	prob:v10-dossier-01	Balanced bilinear maps diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-1.tex	T04.SECTION	tensor product	tensor products	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/10	2	prob:v10-dossier-02	Tensor product diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-2.tex	T01.SECTION	tensor|quotient	tensor and quotients	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/10	3	prob:v10-dossier-03	Universal property diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-5-professional-v2.tex	T03.SECTION	tensor-Hom|Hom.*tensor	tensor-Hom relations	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/10	4	prob:v10-dossier-04	Basic identities diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-5-professional.tex	T03.SECTION	tensor-Hom|Hom.*tensor	tensor-Hom relations	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
V/10	5	prob:v10-dossier-05	Quotient tensors diagnostic	CORPUS_GUIDED	theory-of-commutative-algebra-5.tex	T03.SECTION	tensor-Hom|Hom.*tensor	tensor-Hom relations	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
