source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-algebraic-geometry-7.tex	ALGEBRAIC_GEOMETRY	T04.SECTION	SECTION_OR_SUBSECTION	integral extension|finite morphism	integral extensions	V/19	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v19-dossier-01
theory-of-algebraic-geometry-7.tex	ALGEBRAIC_GEOMETRY	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(integral extension|finite morphism)	problem|exercise|solution|worked problem	V/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v19-dossier-02
theory-of-algebraic-geometry-7.tex	ALGEBRAIC_GEOMETRY	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(integral extension|finite morphism)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/19	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v19-dossier-03
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T03.SECTION	SECTION_OR_SUBSECTION	integrally closed|integral closure	integral closure bridge	V/20	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v20-dossier-01
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(integrally closed|integral closure)	problem|exercise|solution|worked problem	V/20	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v20-dossier-02
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(integrally closed|integral closure)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/20	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v20-dossier-03
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T01.SECTION	SECTION_OR_SUBSECTION	valuation ring|valuation domain	valuation rings	V/21	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v21-dossier-01
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T02.SECTION	SECTION_OR_SUBSECTION	value group|ordered group	value groups	V/21	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v21-dossier-02
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(valuation ring|valuation domain)	problem|exercise|solution|worked problem	V/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v21-dossier-03
theory-of-commutative-algebra-8.tex	COMMUTATIVE_ALGEBRA	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(valuation ring|valuation domain)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/21	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v21-dossier-04
