source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T03.SECTION	SECTION_OR_SUBSECTION	module|exact sequence	modules exact sequences	V/09	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v09-dossier-01
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(module|exact sequence)	problem|exercise|solution|worked problem	V/09	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v09-dossier-03
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(module|exact sequence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/09	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v09-dossier-04
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	V/09	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-commutative-algebra-16.tex	COMMUTATIVE_ALGEBRA	T01.SECTION	SECTION_OR_SUBSECTION	exact sequence	exact sequences	V/09	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v09-dossier-02
theory-of-commutative-algebra-16.tex	COMMUTATIVE_ALGEBRA	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(exact sequence)	problem|exercise|solution|worked problem	V/09	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v09-dossier-05
theory-of-commutative-algebra-16.tex	COMMUTATIVE_ALGEBRA	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(exact sequence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	V/09	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v09-dossier-06
theory-of-commutative-algebra-16.tex	COMMUTATIVE_ALGEBRA	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	V/09	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T04.SECTION	SECTION_OR_SUBSECTION	tensor product	tensor products	V/10	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v10-dossier-01
theory-of-commutative-algebra-1.tex	COMMUTATIVE_ALGEBRA	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(tensor product)	problem|exercise|solution|worked problem	V/10	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:v10-dossier-06
