source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T02.SECTION	SECTION_OR_SUBSECTION	lattice|complex torus	lattices complex tori	IV/27	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv27-dossier-01
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(lattice|complex torus)	problem|exercise|solution|worked problem	IV/27	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv27-dossier-02
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(lattice|complex torus)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/27	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv27-dossier-03
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/27	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T03.SECTION	SECTION_OR_SUBSECTION	elliptic function	elliptic functions	IV/28	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv28-dossier-01
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(elliptic function)	problem|exercise|solution|worked problem	IV/28	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv28-dossier-03
theory-of-algebraic-geometry-12.tex	ALGEBRAIC_GEOMETRY	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(elliptic function)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/28	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv28-dossier-04
theory-of-algebraic-geometry-17.tex	ALGEBRAIC_GEOMETRY	T01.SECTION	SECTION_OR_SUBSECTION	elliptic function|zero|pole	elliptic functions zeros poles	IV/28	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv28-dossier-02
theory-of-algebraic-geometry-17.tex	ALGEBRAIC_GEOMETRY	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(elliptic function|zero|pole)	problem|exercise|solution|worked problem	IV/28	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv28-dossier-05
theory-of-algebraic-geometry-17.tex	ALGEBRAIC_GEOMETRY	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(elliptic function|zero|pole)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/28	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv28-dossier-06
