source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	zero|identity theorem	zeros identity	IV/07	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv07-dossier-01
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(zero|identity theorem)	problem|exercise|solution|worked problem	IV/07	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv07-dossier-03
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(zero|identity theorem)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/07	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv07-dossier-04
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	identity theorem|zeros	zeros identity	IV/07	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv07-dossier-02
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(identity theorem|zeros)	problem|exercise|solution|worked problem	IV/07	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv07-dossier-05
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(identity theorem|zeros)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/07	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv07-dossier-06
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T04.SECTION	SECTION_OR_SUBSECTION	Laurent	Laurent series	IV/08	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv08-dossier-01
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Laurent)	problem|exercise|solution|worked problem	IV/08	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv08-dossier-07
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Laurent)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/08	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv08-dossier-08
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	Laurent|singular|residue	series singularities residues	IV/08	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv08-dossier-02
