source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
diagrams_01-13_tikz.tex	SUPPORT	S01	SUPPORT_OR_EXERCISE	Problem 1|Problem 2|Problem 3|Problem 4|Problem 5|Problem 6	Problems 1-6 complex-plane diagrams	IV/01	100	YES	SUPPORT_ONLY	-
diagrams_01-13_tikz.tex	SUPPORT	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	*	remaining support content	IV/01	10	YES	SUPPORT_ONLY	-
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	complex differentiable|derivative	complex differentiability	IV/01	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv01-dossier-02
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(complex differentiable|derivative)	problem|exercise|solution|worked problem	IV/01	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv01-dossier-03
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(complex differentiable|derivative)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/01	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv01-dossier-04
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/01	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	Cauchy-Riemann|Wirtinger	Cauchy-Riemann	IV/02	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv02-dossier-01
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy-Riemann|Wirtinger)	problem|exercise|solution|worked problem	IV/02	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv02-dossier-02
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy-Riemann|Wirtinger)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/02	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv02-dossier-03
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	power series|radius of convergence	power series	IV/03	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv03-dossier-01
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(power series|radius of convergence)	problem|exercise|solution|worked problem	IV/03	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv03-dossier-03
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(power series|radius of convergence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/03	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv03-dossier-04
theory-of-complex-analysis-series.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/03	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	analytic|power series	analytic power series	IV/03	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv03-dossier-02
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(analytic|power series)	problem|exercise|solution|worked problem	IV/03	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv03-dossier-05
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(analytic|power series)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/03	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv03-dossier-06
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	contour|complex integral	complex integration	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-01
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(contour|complex integral)	problem|exercise|solution|worked problem	IV/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-08
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(contour|complex integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-09
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/04	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Cauchy|contour|integral	Cauchy contour core	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-02
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy|contour|integral)	problem|exercise|solution|worked problem	IV/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-10
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy|contour|integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-11
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/04	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Cauchy|contour|integral	Cauchy contour core	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-03
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy|contour|integral)	problem|exercise|solution|worked problem	IV/04	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-12
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy|contour|integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/04	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Cauchy|contour|integral	Cauchy contour core	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-04
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy|contour|integral)	problem|exercise|solution|worked problem	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy|contour|integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/04	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	Cauchy|contour|integral	Cauchy contour core	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-05
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy|contour|integral)	problem|exercise|solution|worked problem	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy|contour|integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/04	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	contour|Cauchy	contours and Cauchy methods	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-06
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(contour|Cauchy)	problem|exercise|solution|worked problem	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(contour|Cauchy)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	IV/04	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T04.SECTION	SECTION_OR_SUBSECTION	complex integral|contour integral	complex integration	IV/04	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv04-dossier-07
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T04.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(complex integral|contour integral)	problem|exercise|solution|worked problem	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T04.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(complex integral|contour integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/04	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	Cauchy theorem|Cauchy integral	Cauchy theorem/formula	IV/05	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv05-dossier-01
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy theorem|Cauchy integral)	problem|exercise|solution|worked problem	IV/05	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv05-dossier-03
theory-of-complex-analysis-2.tex	COMPLEX_ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy theorem|Cauchy integral)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/05	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv05-dossier-04
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T05.SECTION	SECTION_OR_SUBSECTION	Cauchy theorem|Goursat	Cauchy theorem	IV/05	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv05-dossier-02
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T05.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy theorem|Goursat)	problem|exercise|solution|worked problem	IV/05	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv05-dossier-05
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T05.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy theorem|Goursat)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/05	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv05-dossier-06
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T06.SECTION	SECTION_OR_SUBSECTION	Cauchy integral formula	Cauchy integral formula	IV/06	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv06-dossier-01
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Cauchy integral formula)	problem|exercise|solution|worked problem	IV/06	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv06-dossier-02
theory-of-complex-analysis.tex	COMPLEX_ANALYSIS	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Cauchy integral formula)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/06	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv06-dossier-03
