chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
IV/19	1	prob:iv19-dossier-01	Euler integral diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T01.SECTION	Gamma function|\Gamma	Gamma function	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/19	2	prob:iv19-dossier-02	Convergence diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T01.EXERCISE_CHILDREN	descendant-of(Gamma function|\Gamma)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/19	3	prob:iv19-dossier-03	Functional equation diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T01.THEORY_CHILDREN	descendant-of(Gamma function|\Gamma)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/19	4	prob:iv19-dossier-04	Factorials diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	5	prob:iv19-dossier-05	Analyticity in the half-plane diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	6	prob:iv19-dossier-06	Meromorphic continuation diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	7	prob:iv19-dossier-07	Residues at poles diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	8	prob:iv19-dossier-08	Logarithmic derivative diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	9	prob:iv19-dossier-09	Gamma functional equation proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	10	prob:iv19-dossier-10	Meromorphic continuation proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	11	prob:iv19-dossier-11	Residue formula proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/19	12	prob:iv19-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	1	prob:iv20-dossier-01	Beta integral diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T02.SECTION	Beta function|Beta-Gamma|digamma	Beta Gamma identities	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/20	2	prob:iv20-dossier-02	Symmetry diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T02.EXERCISE_CHILDREN	descendant-of(Beta function|Beta-Gamma|digamma)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/20	3	prob:iv20-dossier-03	Gamma relation diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T02.THEORY_CHILDREN	descendant-of(Beta function|Beta-Gamma|digamma)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/20	4	prob:iv20-dossier-04	Recurrences diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	5	prob:iv20-dossier-05	Trigonometric form diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	6	prob:iv20-dossier-06	Factorial identities diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	7	prob:iv20-dossier-07	Parameter derivatives diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	8	prob:iv20-dossier-08	Duplication preview diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	9	prob:iv20-dossier-09	Beta--Gamma identity proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	10	prob:iv20-dossier-10	Trigonometric Beta formula proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	11	prob:iv20-dossier-11	Beta recurrence proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/20	12	prob:iv20-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	1	prob:iv21-dossier-01	Branch choice diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T03.SECTION	keyhole|branch cut|Hankel contour	keyhole contours	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/21	2	prob:iv21-dossier-02	Keyhole geometry diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T03.EXERCISE_CHILDREN	descendant-of(keyhole|branch cut|Hankel contour)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/21	3	prob:iv21-dossier-03	Jump factor diagnostic	CORPUS_GUIDED	theory-of-complex-analysis-gamma.tex	T03.THEORY_CHILDREN	descendant-of(keyhole|branch cut|Hankel contour)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/21	4	prob:iv21-dossier-04	Vanishing circular arcs diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	5	prob:iv21-dossier-05	Residue contribution diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	6	prob:iv21-dossier-06	Logarithmic integrals diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	7	prob:iv21-dossier-07	Orientation bookkeeping diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	8	prob:iv21-dossier-08	Parameter windows diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	9	prob:iv21-dossier-09	Keyhole jump identity proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	10	prob:iv21-dossier-10	Keyhole reduction principle proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	11	prob:iv21-dossier-11	Differentiation in exponent proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/21	12	prob:iv21-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/22	1	prob:iv22-dossier-01	Local branches diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T01.SECTION	Riemann surface	Riemann surfaces	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	2	prob:iv22-dossier-02	Branch incompatibility diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-15.tex	T02.SECTION	Riemann surface|covering	Riemann surface covering	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	3	prob:iv22-dossier-03	Surface of germs diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-18.tex	T03.SECTION	Riemann surface	Riemann surface motivation	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	4	prob:iv22-dossier-04	Projection map diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T01.EXERCISE_CHILDREN	descendant-of(Riemann surface)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	5	prob:iv22-dossier-05	Charts diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-12.tex	T01.THEORY_CHILDREN	descendant-of(Riemann surface)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	6	prob:iv22-dossier-06	Holomorphic functions on surfaces diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-15.tex	T02.EXERCISE_CHILDREN	descendant-of(Riemann surface|covering)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	7	prob:iv22-dossier-07	Branch points diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-15.tex	T02.THEORY_CHILDREN	descendant-of(Riemann surface|covering)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	8	prob:iv22-dossier-08	Maximal analytic continuation diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-18.tex	T03.EXERCISE_CHILDREN	descendant-of(Riemann surface)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	9	prob:iv22-dossier-09	Local single-valuedness proof dossier	CORPUS_GUIDED	theory-of-algebraic-geometry-18.tex	T03.THEORY_CHILDREN	descendant-of(Riemann surface)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/22	10	prob:iv22-dossier-10	Germ-surface principle proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/22	11	prob:iv22-dossier-11	Single-valued lift proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/22	12	prob:iv22-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete coverage.
IV/23	1	prob:iv23-dossier-01	Covering definition diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-14.tex	T01.SECTION	monodromy|covering|analytic continuation	coverings monodromy	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/23	2	prob:iv23-dossier-02	Sheets diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-15.tex	T01.SECTION	punctured|covering map|lifting	coverings of punctured domains	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
IV/23	3	prob:iv23-dossier-03	Path lifting diagnostic	CORPUS_GUIDED	theory-of-algebraic-geometry-14.tex	T01.EXERCISE_CHILDREN	descendant-of(monodromy|covering|analytic continuation)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution newly authored.
