source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	argument principle|winding|branch|logarithm	argument and branches	IV/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-01
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(argument principle|winding|branch|logarithm)	problem|exercise|solution|worked problem	IV/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-08
theory-of-complex-analysis-all-maps-all.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(argument principle|winding|branch|logarithm)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-09
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	argument principle|winding|branch|logarithm	argument and branches	IV/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-02
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(argument principle|winding|branch|logarithm)	problem|exercise|solution|worked problem	IV/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-10
theory-of-complex-analysis-all-maps-all2.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(argument principle|winding|branch|logarithm)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-11
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	argument principle|winding|branch|logarithm	argument and branches	IV/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-03
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(argument principle|winding|branch|logarithm)	problem|exercise|solution|worked problem	IV/12	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-12
theory-of-complex-analysis-all-maps.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(argument principle|winding|branch|logarithm)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	argument principle|winding|branch|logarithm	argument and branches	IV/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-04
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(argument principle|winding|branch|logarithm)	problem|exercise|solution|worked problem	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-all.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(argument principle|winding|branch|logarithm)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	T03.SECTION	SECTION_OR_SUBSECTION	winding|argument principle	winding argument principle	IV/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-05
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	T03.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(winding|argument principle)	problem|exercise|solution|worked problem	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next.tex	COMPLEX_ANALYSIS	T03.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(winding|argument principle)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next2.tex	COMPLEX_ANALYSIS	T01.SECTION	SECTION_OR_SUBSECTION	winding|argument principle	winding and argument	IV/12	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iv12-dossier-06
theory-of-complex-analysis-next2.tex	COMPLEX_ANALYSIS	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(winding|argument principle)	problem|exercise|solution|worked problem	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
theory-of-complex-analysis-next2.tex	COMPLEX_ANALYSIS	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(winding|argument principle)	definition|theorem|lemma|proposition|corollary|remark|warning|example	IV/12	90	YES	MERGED_WITH_CHAPTER_CONTEXT	-
