source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
theory-of-analysis-FD.tex	ANALYSIS	T07.SECTION	SECTION_OR_SUBSECTION	distribution|Dirac|tempered	distribution theory	III/16	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T07.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(distribution|Dirac|tempered)	problem|exercise|solution|worked problem	III/16	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-04
theory-of-analysis-FD.tex	ANALYSIS	T07.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(distribution|Dirac|tempered)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/16	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-05
theory-of-analysis-functions-II.tex	ANALYSIS	T02.SECTION	SECTION_OR_SUBSECTION	distribution|distributional derivative	distributions derivatives	III/16	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-02
theory-of-analysis-functions-II.tex	ANALYSIS	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(distribution|distributional derivative)	problem|exercise|solution|worked problem	III/16	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-06
theory-of-analysis-functions-II.tex	ANALYSIS	T02.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(distribution|distributional derivative)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/16	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-07
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	T01.SECTION	SECTION_OR_SUBSECTION	distribution|Dirac|test function	distributions	III/16	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-03
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(distribution|Dirac|test function)	problem|exercise|solution|worked problem	III/16	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-08
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(distribution|Dirac|test function)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/16	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii16-dossier-09
theory-of-disitrbutions.tex	FOURIER_DISTRIBUTIONS_PDE	FALLBACK.ALL_UNMATCHED	ANY_UNMATCHED_BLOCK	* unmatched after higher-precedence selectors	all remaining sections/theorem-like/problem blocks	III/16	10	YES	ROUTED_TO_CHAPTER_CONTEXT	-
