source_file	source_family	source_block_id	block_kind	source_selector	source_topic	destination	precedence	source_exists	disposition	canonical_dossier_label
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T06.SECTION	SECTION_OR_SUBSECTION	weak formulation|Sobolev	weak formulations	III/23	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii23-dossier-01
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(weak formulation|Sobolev)	problem|exercise|solution|worked problem	III/23	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii23-dossier-02
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(weak formulation|Sobolev)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/23	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii23-dossier-03
theory-of-analysis-FD.tex	ANALYSIS	T08.SECTION	SECTION_OR_SUBSECTION	fundamental solution|Yukawa|Laplace operator|Helmholtz	fundamental solutions	III/24	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-01
theory-of-analysis-FD.tex	ANALYSIS	T08.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(fundamental solution|Yukawa|Laplace operator|Helmholtz)	problem|exercise|solution|worked problem	III/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-04
theory-of-analysis-FD.tex	ANALYSIS	T08.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(fundamental solution|Yukawa|Laplace operator|Helmholtz)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-05
theory-of-analysis-FD2.tex	ANALYSIS	T06.SECTION	SECTION_OR_SUBSECTION	fundamental solution|Yukawa|Helmholtz|Laplace	fundamental solutions	III/24	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-02
theory-of-analysis-FD2.tex	ANALYSIS	T06.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(fundamental solution|Yukawa|Helmholtz|Laplace)	problem|exercise|solution|worked problem	III/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-06
theory-of-analysis-FD2.tex	ANALYSIS	T06.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(fundamental solution|Yukawa|Helmholtz|Laplace)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-07
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T01.SECTION	SECTION_OR_SUBSECTION	fundamental solution|delta source	fundamental solutions	III/24	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-03
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T01.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(fundamental solution|delta source)	problem|exercise|solution|worked problem	III/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-08
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T01.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(fundamental solution|delta source)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/24	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii24-dossier-09
theory-of-analysis-FD2.tex	ANALYSIS	T07.SECTION	SECTION_OR_SUBSECTION	Green function|Green's function	Green functions	III/25	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii25-dossier-01
theory-of-analysis-FD2.tex	ANALYSIS	T07.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Green function|Green's function)	problem|exercise|solution|worked problem	III/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii25-dossier-03
theory-of-analysis-FD2.tex	ANALYSIS	T07.THEORY_CHILDREN	THEOREM_LIKE	descendant-of(Green function|Green's function)	definition|theorem|lemma|proposition|corollary|remark|warning|example	III/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii25-dossier-04
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T02.SECTION	SECTION_OR_SUBSECTION	Green function|Green's function	Green functions	III/25	100	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii25-dossier-02
wiki-green.tex	FOURIER_DISTRIBUTIONS_PDE	T02.EXERCISE_CHILDREN	PROBLEM_EXERCISE_SOLUTION	descendant-of(Green function|Green's function)	problem|exercise|solution|worked problem	III/25	90	YES	CORPUS_GUIDED_CANONICAL_PROBLEM	prob:iii25-dossier-05
