chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	note
III/09	1	prob:iii09-dossier-01	Periodic functions diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T01.SECTION	Fourier series|trigonometric series	Fourier series	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/09	2	prob:iii09-dossier-02	Orthogonality diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T01.EXERCISE_CHILDREN	descendant-of(Fourier series|trigonometric series)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/09	3	prob:iii09-dossier-03	Fourier coefficients diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T01.THEORY_CHILDREN	descendant-of(Fourier series|trigonometric series)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/09	4	prob:iii09-dossier-04	Partial sums diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	5	prob:iii09-dossier-05	Bessel inequality diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	6	prob:iii09-dossier-06	Dirichlet kernel diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	7	prob:iii09-dossier-07	Pointwise convergence diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	8	prob:iii09-dossier-08	Gibbs phenomenon diagnostic	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	9	prob:iii09-dossier-09	Orthogonality relations proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	10	prob:iii09-dossier-10	Bessel inequality proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	11	prob:iii09-dossier-11	Dirichlet convergence principle proof dossier	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/09	12	prob:iii09-dossier-12	Chapter synthesis	FRESH_CANONICAL	-	-	-	-	Fresh canonical dossier added to complete the chapter contract.
III/10	1	prob:iii10-dossier-01	Definition of convolution diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T02.SECTION	convolution|approximate identity	convolution	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
III/10	2	prob:iii10-dossier-02	Commutativity and associativity diagnostic	CORPUS_GUIDED	theory-of-analysis-FD.tex	T02.EXERCISE_CHILDREN	descendant-of(convolution|approximate identity)	problem|exercise|solution|worked problem	Retained corpus rule guided the canonical dossier; statement and solution are newly authored.
