notation	role	introduced	convention	status
$z=x+iy$	complex coordinate	IV/01	x,y real coordinates	PASS
$f'(z_0)$	complex derivative	IV/01	limit of complex difference quotient	PASS
$u+iv$	real-imaginary decomposition	IV/02	u,v real-valued	PASS
$u_x=v_y,\ u_y=-v_x$	Cauchy--Riemann equations	IV/02	standard orientation convention	PASS
$\sum a_n(z-z_0)^n$	power series	IV/03	radius of convergence understood	PASS
$\gamma$	contour	IV/04	piecewise C1 parametrized curve	PASS
$\int_\gamma f(z)\,dz$	contour integral	IV/04	parameter-orientation convention	PASS
$\mathbb D$	unit disk	IV/17	$\{z:|z|<1\}$	PASS
$\operatorname{Ind}(\Gamma,a)$	winding number	IV/12	$(2\pi i)^{-1}\int_\Gamma dz/(z-a)$	PASS
$\operatorname{ord}_a(f)$	zero/pole order	IV/12	positive for zeros, negative for poles	PASS
$\operatorname{Res}(f,a)$	residue	IV/10	coefficient of $(z-a)^{-1}$	PASS
$\operatorname{Log}z$	holomorphic logarithm branch	IV/14	capital Log denotes a chosen branch when specified	PASS
$\arg z$	argument	IV/12, IV/14	branch or continuous lift stated by context	PASS
$\frac{az+b}{cz+d}$	Mobius map	IV/16	$ad-bc\ne0$	PASS
$\alpha_k\pi$	polygon interior angle	IV/18	alpha_k is angle divided by pi; SC exponent alpha_k-1	PASS
$\Gamma(s)$	Gamma function	IV/19	Euler integral first, then continuation	PASS
$B(x,y)$	Beta function	IV/20	Euler beta integral	PASS
$X,Y$	Riemann surfaces	IV/22	connected one-dimensional complex manifolds when connectedness is required	PASS
$\pi:X\to Y$	holomorphic projection/map	IV/22	local coordinate from pi only at unramified points	PASS
$d\pi_p$	differential of projection	IV/22	nonzero iff local biholomorphism for maps of Riemann surfaces	PASS
$e_p$	ramification index	IV/24	local exponent in z->z^{e_p}	PASS
$d$	degree of compact holomorphic map	IV/24	total fiber multiplicity $\sum e_p$	PASS
$\chi$	Euler characteristic	IV/26	$\chi=2-2g$ for compact connected orientable surfaces	PASS
$g$	genus	IV/26	number of handles/topological genus	PASS
$\Lambda$	lattice in C	IV/27	rank-two discrete subgroup	PASS
$\mathbb C/\Lambda$	complex torus	IV/27	quotient by translations	PASS
$\wp$	Weierstrass elliptic function	IV/29	normalization inherited from the lattice definition	PASS
$g_2,g_3$	Weierstrass invariants	IV/29	weights 4 and 6 under lattice scaling	PASS
$\Delta=g_2^3-27g_3^2$	discriminant	IV/31	nonzero iff the Weierstrass cubic is nonsingular	PASS
$E$	Weierstrass cubic	IV/31	$y^2=4x^3-g_2x-g_3$ with point at infinity	PASS
$dx/y$	invariant differential	IV/31	pulls back to dz under the chosen Weierstrass parametrization	PASS
$j$	modular invariant	IV/31	scaling-invariant moduli parameter	PASS
