chapter	title	established_prerequisites	local_definitions_or_lemmas	forward_preview_policy	external_standard_imports	status
IV/01	Complex Differentiability	II/05, II/08	complex derivative; complex-linear differential	none	real multivariable calculus	PASS
IV/02	Cauchy--Riemann Equations	IV/01, II/08	u+iv decomposition; CR equations	none	real partial derivatives and Jacobians	PASS
IV/03	Power Series and Analytic Functions	IV/01, II/03, II/11, II/13	radius of convergence; termwise differentiation	none	completeness and uniform convergence on compacta	PASS
IV/04	Complex Integration	IV/01, II/10	piecewise C1 contour; contour integral	none	real Riemann integration	PASS
IV/05	Cauchy's Theorem	IV/01, IV/04, II/04, II/07	triangle Cauchy--Goursat; homotopy cell argument	none	elementary point-set/path topology	PASS
IV/06	Cauchy's Integral Formula	IV/05	Cauchy kernel; integral representation	none	none	PASS
IV/07	Zeros and the Identity Theorem	IV/03, IV/06	order of zero; analytic factorization	none	none	PASS
IV/08	Laurent Series	IV/03, IV/06	annular expansion; principal part	none	none	PASS
IV/09	Isolated Singularities	IV/08	removable/pole/essential classification	none	none	PASS
IV/10	Residues and the Residue Theorem	IV/05, IV/08, IV/09	residue; local coefficient extraction	none	none	PASS
IV/11	Evaluation of Real Integrals	IV/10	contour-selection templates	none	real improper-integral convergence tests	PASS
IV/12	Winding Numbers and the Argument Principle	IV/05, IV/10	index; logarithmic derivative; ord_a(f)	none	none	PASS
IV/13	Rouche's Theorem	IV/12	boundary comparison; zero count	none	none	PASS
IV/14	Branches of the Logarithm and Roots	IV/05, IV/12	holomorphic logarithm; branch cut; root branch	none	elementary covering/topological intuition	PASS
IV/15	Analytic Continuation	IV/07, IV/14	germs; continuation along paths	IV/22 surface-of-germs viewpoint	none	PASS
IV/16	Mobius Transformations	IV/01	fractional linear map; sphere convention	none	projective-line algebra at an elementary level	PASS
IV/17	Conformal Mapping	IV/06, IV/07, IV/16, II/09	local conformality; disk automorphisms; Schwarz lemma	none	Riemann mapping existence via normal-family/Montel theorem	PASS
IV/18	Schwarz--Christoffel Transformations	IV/14, IV/17	normalized angle alpha_k*pi; prevertices; accessory constants	IV/28-IV/30 elliptic-integral connection	numerical solution of accessory parameters where invoked	PASS
IV/19	The Gamma Function	IV/03, IV/04	Gamma integral; analytic continuation framework	IV/20 beta identities	real improper integration	PASS
IV/20	Beta and Gamma Identities	IV/19	Beta integral; Gamma-Beta relation	none	real change of variables/Fubini where invoked	PASS
IV/21	Keyhole Contours and Branch-Cut Integrals	IV/10, IV/14, IV/19, IV/20	keyhole contour; branch boundary values	none	real improper-integral convergence	PASS
IV/22	From Analytic Continuation to Riemann Surfaces	IV/14, IV/15, II/09	charts; germs; holomorphic projection; unramified local coordinate	IV/23 covering maps	basic topological surface language	PASS
IV/23	Covering Maps and Monodromy	IV/15, IV/22	covering map; lifted path; monodromy permutation	IV/24 branched coverings	standard elementary covering-space facts where named	PASS
IV/24	Branched Coverings	IV/12, IV/22, IV/23, II/09	local model z^e; ramification index; degree with multiplicity	IV/26 Riemann--Hurwitz	none	PASS
IV/25	Construction by Gluing	IV/22, IV/23	compatible charts; transition maps; quotient/gluing data	IV/26 compactification	quotient-topology basics	PASS
IV/26	Compactification and Genus	IV/24, IV/25	point at infinity; genus; Euler characteristic; Riemann--Hurwitz	IV/27 complex tori	compact orientable-surface topology and triangulation	PASS
IV/27	Lattices and Complex Tori	IV/25, IV/26	lattice Lambda; quotient C/Lambda; fundamental parallelogram	IV/28 elliptic functions	elementary lattice/group-action facts	PASS
IV/28	Elliptic Functions	IV/09, IV/27	doubly periodic meromorphic function; divisor balance	IV/29 Weierstrass function	none	PASS
IV/29	The Weierstrass Function	IV/03, IV/27, IV/28	wp; lattice sums; invariants g2,g3	IV/30 addition formulas	locally uniform convergence of lattice series	PASS
IV/30	Addition Formulas	IV/28, IV/29	addition identities for wp and wp'	IV/31 cubic group law	none	PASS
IV/31	Elliptic Curves as Riemann Surfaces	IV/26, IV/27, IV/29, IV/30	Weierstrass cubic; discriminant; invariant differential; j viewpoint	none	elementary projective cubic language	PASS
