chapter_code	canonical_path	file_exists	bytes	sections	labels	theorem_like	problems	exercises	hints	solutions	pedagogy_layer	figure_inputs	mapped_rules_declared	mapped_rules_actual	chapter_blockers
VI/01	books/vol06_algebraic_geometry/chapters/ch01_algebraic_sets/chapter.tex	YES	28965	19	50	27	0	16	16	16	FULL_SOLUTION_COUNT	0	4	4	-
VI/02	books/vol06_algebraic_geometry/chapters/ch02_zariski_topology/chapter.tex	YES	26219	19	45	20	0	16	16	16	FULL_SOLUTION_COUNT	0	3	3	-
VI/03	books/vol06_algebraic_geometry/chapters/ch03_coordinate_rings/chapter.tex	YES	23744	20	39	11	0	16	16	16	FULL_SOLUTION_COUNT	0	3	3	-
VI/04	books/vol06_algebraic_geometry/chapters/ch04_morphisms_affine_algebraic_sets/chapter.tex	YES	33006	28	40	27	0	16	16	16	FULL_SOLUTION_COUNT	0	3	3	-
VI/05	books/vol06_algebraic_geometry/chapters/ch05_irreducibility_components/chapter.tex	YES	30000	19	35	26	0	16	16	16	FULL_SOLUTION_COUNT	4	6	6	-
VI/06	books/vol06_algebraic_geometry/chapters/ch06_prime_ideals_geometric_points/chapter.tex	YES	25828	18	29	15	0	16	16	16	FULL_SOLUTION_COUNT	4	1	1	-
VI/07	books/vol06_algebraic_geometry/chapters/ch07_spectrum_of_a_ring/chapter.tex	YES	20542	21	20	16	15	16	16	16	MIXED_HINT_SOLUTION_LAYER	7	7	7	-
VI/08	books/vol06_algebraic_geometry/chapters/ch08_basic_open_sets/chapter.tex	YES	20552	22	20	13	16	16	16	16	MIXED_HINT_SOLUTION_LAYER	8	6	6	-
VI/09	books/vol06_algebraic_geometry/chapters/ch09_generic_closed_points/chapter.tex	YES	24639	22	20	17	18	16	16	16	MIXED_HINT_SOLUTION_LAYER	9	9	9	-
VI/10	books/vol06_algebraic_geometry/chapters/ch10_reduced_nonreduced_geometry/chapter.tex	YES	27487	21	20	20	17	16	16	16	MIXED_HINT_SOLUTION_LAYER	9	6	6	-
VI/11	books/vol06_algebraic_geometry/chapters/ch11_local_rings_residue_fields/chapter.tex	YES	26288	23	20	16	20	16	16	16	MIXED_HINT_SOLUTION_LAYER	9	10	10	-
VI/12	books/vol06_algebraic_geometry/chapters/ch12_presheaves/chapter.tex	YES	23445	24	20	8	22	16	16	16	MIXED_HINT_SOLUTION_LAYER	8	11	11	-
VI/13	books/vol06_algebraic_geometry/chapters/ch13_sheaves_stalks/chapter.tex	YES	24392	24	20	20	0	16	16	16	FULL_SOLUTION_COUNT	10	9	9	-
VI/14	books/vol06_algebraic_geometry/chapters/ch14_sheafification/chapter.tex	YES	27193	24	20	15	0	16	16	16	FULL_SOLUTION_COUNT	10	9	9	-
VI/15	books/vol06_algebraic_geometry/chapters/ch15_kernels_images_quotients/chapter.tex	YES	20765	19	20	11	0	16	16	16	FULL_SOLUTION_COUNT	8	9	9	-
VI/16	books/vol06_algebraic_geometry/chapters/ch16_exact_sequences_sheaves/chapter.tex	YES	17924	17	23	10	0	16	16	16	FULL_SOLUTION_COUNT	7	9	9	-
VI/17	books/vol06_algebraic_geometry/chapters/ch17_structure_sheaf/chapter.tex	YES	19432	22	22	7	0	16	16	16	FULL_SOLUTION_COUNT	10	4	4	-
VI/18	books/vol06_algebraic_geometry/chapters/ch18_affine_schemes/chapter.tex	YES	19756	23	20	6	0	16	16	16	FULL_SOLUTION_COUNT	8	9	9	-
VI/19	books/vol06_algebraic_geometry/chapters/ch19_morphisms_affine_schemes/chapter.tex	YES	21563	24	20	3	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/20	books/vol06_algebraic_geometry/chapters/ch20_gluing_affine_schemes/chapter.tex	YES	19936	22	20	3	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/21	books/vol06_algebraic_geometry/chapters/ch21_schemes_and_points/chapter.tex	YES	18146	16	27	10	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/22	books/vol06_algebraic_geometry/chapters/ch22_open_closed_subschemes/chapter.tex	YES	16790	17	25	8	0	16	16	16	FULL_SOLUTION_COUNT	10	4	4	-
VI/23	books/vol06_algebraic_geometry/chapters/ch23_fiber_products/chapter.tex	YES	17424	19	23	6	0	16	16	16	FULL_SOLUTION_COUNT	10	7	7	-
VI/24	books/vol06_algebraic_geometry/chapters/ch24_base_change/chapter.tex	YES	16583	19	23	6	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/25	books/vol06_algebraic_geometry/chapters/ch25_fibers_geometric_fibers/chapter.tex	YES	17160	17	24	6	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/26	books/vol06_algebraic_geometry/chapters/ch26_finite_type_noetherian_morphisms/chapter.tex	YES	18602	18	28	11	0	16	16	16	FULL_SOLUTION_COUNT	10	7	7	-
VI/27	books/vol06_algebraic_geometry/chapters/ch27_integral_schemes_function_fields/chapter.tex	YES	17948	17	28	11	0	16	16	16	FULL_SOLUTION_COUNT	10	9	9	-
VI/28	books/vol06_algebraic_geometry/chapters/ch28_normalization/chapter.tex	YES	16981	17	27	10	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/29	books/vol06_algebraic_geometry/chapters/ch29_krull_dimension/chapter.tex	YES	16325	17	29	12	0	16	16	16	FULL_SOLUTION_COUNT	10	7	7	-
VI/30	books/vol06_algebraic_geometry/chapters/ch30_dimension_of_schemes/chapter.tex	YES	17242	17	38	10	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/31	books/vol06_algebraic_geometry/chapters/ch31_codimension/chapter.tex	YES	20860	20	40	11	0	16	16	16	FULL_SOLUTION_COUNT	10	3	3	-
VI/32	books/vol06_algebraic_geometry/chapters/ch32_tangent_spaces_and_local_geometry/chapter.tex	YES	24326	21	41	11	0	16	16	16	FULL_SOLUTION_COUNT	10	6	6	-
